"DEWP","TEMP","Iws"
0,14,9.83
-16,-1,177.88
18,22,8.05
-13,14,32.63
8,8,5.37
-8,-4,3.13
-10,4,3.13
16,21,1.79
20,23,2.67
22,30,31.3
15,19,1.78
-22,-7,12.96
22,24,55.42
-3,12,8.5
-20,14,49.17
-21,-18,5.81
-22,0,27.26
16,25,1.79
17,25,2.68
24,25,45.15
3,14,41.57
17,23,20.11
-19,-7,2.23
9,11,2.67
-15,-8,7.16
21,28,25.48
-6,-5,34.43
15,20,13.85
21,24,6.26
-16,9,3.13
-17,15,38
14,15,0.89
7,9,0.89
12,12,0.89
-16,2,102.37
-16,-9,1.78
24,25,29.07
-9,4,20.12
13,24,27.28
8,12,7.59
-9,26,3.13
-5,-3,12.97
10,20,9.84
-9,-4,27.72
10,34,6.26
1,19,4.92
6,40,0.89
24,25,0.89
22,24,7.15
14,29,11.18
-14,-2,21
-21,-4,15.2
20,23,1.79
11,29,19.22
-9,-2,1.78
-19,10,295.92
-10,19,14.3
24,33,11.18
17,26,1.79
3,20,0.89
23,24,18.33
14,33,14.75
14,23,4.02
18,25,23.7
6,17,25.94
-10,7,3.58
13,28,41.57
22,29,0.89
4,12,41.12
17,21,9.84
22,23,37.55
19,25,0.89
-5,0,0.89
-18,3,249.87
3,27,27.28
25,26,0.89
-10,-5,1.79
-24,-11,0.89
16,29,4.02
20,21,1.78
7,9,0.89
-21,1,66.17
-7,-1,3.58
12,19,9.84
-10,2,4.02
19,27,3.13
-22,-8,169.42
16,26,4.92
17,19,35.76
18,20,4.45
20,22,1.78
-4,-3,0.45
7,13,0.89
13,20,1.79
21,24,60.8
-14,14,178.33
-11,21,1.79
17,19,0.89
-7,-5,0.89
-11,8,0.89
3,16,1.79
-17,-10,0.89
13,19,0.45
-9,-2,3.12
-18,-10,0.45
21,25,7.15
-4,4,0.89
17,25,19.67
15,16,0.89
-7,-1,0.89
21,25,0.89
-23,-10,4.45
20,22,2.68
-3,21,7.15
19,29,11.18
-11,0,139.49
-6,2,0.89
5,23,17.87
17,19,15.2
-10,-1,5.37
-1,4,110.44
15,27,3.13
-21,-9,19.22
17,26,11.63
8,11,0.89
-6,-3,0.45
-15,-4,20.56
-23,-1,64.82
-1,24,1.79
2,12,52.3
24,30,20.57
18,28,12.07
-20,-7,63.92
-11,9,3.13
5,19,1.79
-19,-2,1.79
19,25,1.79
24,28,24.58
-8,-6,5.36
17,28,25.49
-17,12,148.42
-8,4,4.02
-13,-9,0.89
-4,0,51.41
0,2,1.78
18,28,0.89
-17,2,0.89
-5,-1,1.78
17,23,23.25
5,12,0.89
-11,-7,12.07
8,10,3.12
-7,-7,1.78
3,17,39.34
6,22,20.11
11,27,6.26
-26,0,3.57
23,32,16.1
25,29,1.78
2,18,7.15
-8,20,174.31
10,21,1.79
-23,0,1.79
-7,-2,3.13
18,19,3.13
-2,29,37.09
4,5,8.05
6,25,12.07
14,28,1.79
1,14,55.45
-8,-8,7.15
2,20,30.84
18,21,0.89
-18,-9,4.02
24,30,62.15
-21,-1,9.83
-13,11,19.67
17,22,8.5
-1,8,0.89
-5,5,1.79
1,26,59.88
18,25,4.92
8,30,12.06
-24,-5,138.12
3,22,3.58
13,14,0.89
1,5,89.39
4,27,18.33
-7,18,4.92
-14,-7,9.38
-1,27,6.71
-8,0,220.02
17,19,0.89
-9,-2,15.64
18,20,1.78
19,21,0.89
4,11,0.89
-18,3,81.81
16,19,22.36
-22,-5,328.55
-16,0,1.79
-19,-3,13.85
-14,8,3.58
-16,0,3.56
-14,1,1.79
8,9,3.56
-22,-7,0.89
14,16,33.08
-26,-14,39.33
-8,-1,0.89
12,32,9.39
-5,1,0.89
-17,1,441.18
9,28,51.86
17,24,1.79
19,31,4.02
23,24,1.79
1,24,53.63
-13,-5,0.89
12,21,34.86
19,22,8.04
-19,3,9.39
-19,-10,16.1
-16,1,3.13
16,34,8.05
9,15,3.58
-3,22,25.48
14,23,1.79
-20,-11,4.02
7,22,29.06
12,32,35.31
-13,3,8.94
5,16,8.04
-17,-6,1.79
-2,11,1.79
-23,-4,4.02
23,24,0.89
-19,-3,85.82
-7,7,6.26
-1,13,107.73
-1,24,95.67
0,12,0.89
17,19,1.79
24,30,0.89
-9,3,3.13
7,24,7.15
3,23,71.07
18,22,0.89
23,31,7.15
-10,-5,46.52
-9,-3,4.92
8,17,0.89
4,21,3.13
15,34,27.71
13,23,30.86
0,5,1.78
-12,7,25.49
11,26,33.07
22,26,0.89
-7,18,3.13
11,34,9.39
-24,-10,70.62
-14,-1,0.89
-3,8,1.78
24,27,4.02
-21,6,130.52
16,26,21.01
-15,-7,4.92
-11,24,8.94
-19,-9,3.13
-28,-7,156
-4,-1,13.42
-19,-7,5.81
10,12,1.78
-3,15,33.07
19,21,1.79
24,30,66.17
-6,-2,0.89
21,25,1.78
14,28,8.05
14,15,1.79
22,22,0.89
22,25,25.49
9,17,42.92
15,22,0.89
18,22,0.89
20,21,4.02
12,32,3.13
22,23,0.89
20,27,12.96
20,22,0.89
-23,-5,75.09
20,22,37.55
16,22,0.89
-6,-3,3.13
20,22,16.99
11,13,1.34
16,20,1.78
-17,-8,3.13
3,6,2.68
1,23,224.84
-7,19,10.73
18,19,10.28
-10,3,31.3
-1,-1,0.89
6,15,1.79
-17,-7,28.6
-15,0,108.63
10,31,0.89
4,18,3.13
11,14,2.67
23,26,22.81
20,24,10.74
-2,5,0.89
15,24,4.02
16,27,32.62
-21,-1,29.95
14,18,0.89
-11,17,41.12
-8,-1,19.66
16,28,1.79
2,4,2.67
-6,3,185.1
-7,5,1.79
-10,2,3.57
-16,1,18.77
17,21,12.97
10,31,15.19
-12,-9,1.78
-21,-7,403.19
-14,5,2.68
19,27,25.48
-15,3,55.43
-19,-2,22.8
-23,-2,9.84
16,29,4.02
7,8,21.46
-14,0,100.59
-7,3,23.25
5,8,2.68
-7,-4,37.1
-18,1,44.71
13,24,25.92
0,14,10.28
-12,7,21.46
20,21,0.9
13,22,9.39
17,23,67.07
-23,5,8.94
-4,-2,0.89
-14,5,4.02
-9,-3,0.89
18,22,35.76
17,23,1.79
17,19,0.89
-15,5,49.62
3,23,3.13
15,25,0.89
6,20,1.78
-17,-4,12.07
-5,-3,0.89
12,12,1.79
10,13,4.92
18,21,2.68
21,21,0.89
-17,-1,27.71
6,31,7.59
16,22,0.89
-15,5,30.84
14,24,38.43
-19,-15,1.79
11,14,0.89
-18,-14,1.79
22,23,1.79
16,26,13.41
17,19,0.89
10,30,8.94
-9,8,14.76
20,28,1.79
-7,20,57.67
19,20,3.13
16,21,1.79
-18,-4,36.21
-19,-3,0.89
10,17,1.79
18,26,1.34
-1,0,1.79
1,2,101.93
14,35,1.79
7,9,0.45
-12,15,210.08
-1,-1,1.34
-14,8,0.89
-15,-6,24.14
-18,-12,3.12
-23,-5,67.06
-13,-12,0.89
-14,-9,9.84
14,23,5.37
16,36,1.79
23,24,4.92
0,10,0.89
-5,-2,0.89
-27,-7,188.19
6,10,0.89
19,25,0.89
-8,1,2.68
-20,6,55.42
5,15,15.19
27,28,21.02
5,8,0.89
-24,-9,11.17
-2,-1,8.5
17,21,4.92
-11,17,94.31
19,22,4.47
18,20,1.79
10,20,48.28
-10,6,6.26
12,13,0.45
-7,8,7.6
-11,1,0.89
21,28,3.13
-16,0,169.87
17,26,2.67
21,24,0.89
16,18,1.79
7,14,36.65
-5,18,7.15
27,31,1.79
-5,3,1.78
-18,-1,7.15
10,28,19.22
25,26,1.79
20,26,21.02
2,35,3.13
-8,-3,0.89
21,24,3.12
14,15,2.67
-22,9,63.93
18,18,45.62
-11,-1,3.58
14,15,0.45
12,28,12.07
-23,0,0.89
11,13,1.79
-20,-2,199.8
-5,-1,0.89
15,21,39.78
2,20,4.92
-7,-6,0.89
-22,3,0.89
-10,22,18.78
-6,-2,0.89
20,22,1.78
-11,18,54.09
-12,9,2.67
-19,-5,2.68
-17,2,3.13
24,25,11.63
5,21,42.47
-3,3,0.89
-3,26,89.39
-25,-2,124.27
0,21,43.37
-19,5,1.79
19,23,10.29
7,23,9.83
11,19,1.79
21,28,21.9
-4,-3,87.19
19,21,34.43
-17,11,34.86
9,10,0.89
-20,-5,1.79
7,31,20.12
13,15,10.28
-3,0,11.17
-2,-2,0.89
2,4,3.56
12,33,1.79
8,25,12.96
-1,31,22.8
5,18,29.94
14,16,0.89
11,27,52.31
-2,6,1.78
-5,0,16.55
-6,-2,39.8
17,23,63.94
5,24,8.05
-11,-3,17.43
11,20,16.54
-21,-6,75.56
19,29,33.98
-1,16,29.94
6,16,2.23
-12,-10,0.89
-22,-3,10.73
20,23,46.94
25,28,3.58
17,19,1.79
14,16,0.45
-5,8,0.89
20,29,12.96
-20,-8,3.13
14,33,6.26
-12,10,4.02
22,31,20.11
14,15,16.54
21,22,0.89
-3,18,11.18
11,13,67.5
23,30,4.92
-13,-3,1.79
4,15,9.84
16,27,3.13
10,12,0.89
23,27,3.56
-9,6,1.79
17,30,8.94
-11,8,211.45
-4,19,1.79
20,25,3.56
5,19,25.48
17,24,9.84
-7,-4,0.89
7,11,48.72
3,11,1.79
-2,0,6.26
-9,19,68.85
-20,-11,5.37
0,2,3.56
6,12,1.79
-22,-1,53.2
8,13,12.07
7,28,8.94
22,32,9.84
24,29,9.84
5,26,1.79
21,24,37.55
6,8,0.89
-9,9,34.42
6,12,1.79
-25,-6,1.79
1,7,35.31
-19,-4,127.41
-1,3,0.45
0,15,4.02
-1,5,1.79
-4,9,102.81
-18,-3,3.58
-13,13,156.9
-1,9,62.14
-21,2,63.46
-16,-2,0.89
-16,-7,4.92
-19,6,54.09
6,6,17.44
6,21,0.89
24,25,0.89
-8,0,0.89
8,10,4.92
-2,21,18.77
-12,-8,45.61
-11,-6,8.95
-7,-2,0.89
16,23,0.89
-6,-3,9.84
9,13,3.58
21,27,21.46
-7,-1,1.79
6,6,0.89
-6,10,42.46
2,8,7.6
22,22,1.79
12,12,7.15
-24,-2,4.92
-22,-6,14.75
14,20,1.79
8,24,10.73
-19,-2,70.19
17,23,6.71
13,18,2.68
-11,5,30.84
2,16,3.13
21,24,10.29
14,31,5.37
21,24,0.89
23,23,10.28
-12,0,42.47
-5,-3,0.89
15,24,18.33
8,36,3.13
24,24,8.05
9,21,3.58
-4,15,66.58
-18,0,32.19
2,2,124.29
-5,-5,1.79
21,21,4.92
19,25,39.32
17,21,23.7
-1,18,4.92
-11,11,153.33
0,13,159.14
-4,6,0.89
11,17,0.89
-27,2,109.06
-7,15,29.06
3,8,3.13
6,19,30.85
-13,4,1.79
13,14,21.01
-20,-7,4.92
-11,23,45.61
15,29,44.26
-12,0,4.02
16,20,11.18
-25,-5,30.39
-8,0,1.79
20,22,3.58
-15,12,3.13
-13,-1,76.9
4,22,21.9
-9,-3,6.71
12,19,1.79
-10,-5,5.37
-22,2,0.89
-5,-4,0.89
21,32,99.68
-15,-9,8.95
-16,1,2.23
18,19,1.78
22,25,24.14
18,28,6.25
-16,-5,28.16
-8,12,88.51
3,11,2.67
-17,-3,21.01
16,32,4.02
6,19,4.92
16,18,0.89
13,22,0.89
13,15,1.78
-11,7,1.79
-8,23,7.15
20,29,1.79
8,9,0.89
9,11,25.04
20,31,1.79
-14,2,1.79
-16,1,82.27
16,32,29.5
-16,4,50.51
-17,8,3.58
-6,7,1.34
-8,-4,0.89
-5,16,3.13
-17,-2,0.89
-5,0,20.57
-4,16,25.92
8,17,12.52
-10,2,1.79
-11,-3,3.58
12,29,9.84
22,24,2.68
7,14,7.6
16,19,0.89
1,4,1.78
-1,16,37.1
-8,0,241.5
11,13,1.79
10,17,5.81
4,18,42.02
15,25,52.75
-28,-4,117.11
6,8,1.79
-18,2,215.03
17,32,11.18
-11,15,69.72
7,19,1.79
-12,-5,0.89
8,13,3.13
-5,13,3.58
5,10,1.79
-6,7,2.68
3,4,51.86
21,30,3.58
14,17,6.71
23,24,42.91
-23,1,186.84
-13,3,10.29
19,32,3.56
2,14,1.79
-12,14,202.93
20,22,20.57
4,7,0.89
1,8,4.47
2,4,7.6
-3,26,30.41
24,25,3.58
-16,2,121.15
18,20,1.79
23,30,1.79
-12,-3,11.17
0,0,2.23
20,21,0.89
16,26,1.79
-16,-4,85.4
-13,-3,39.78
-17,-13,4.92
21,25,4.45
18,28,1.79
-15,13,10.73
4,27,8.5
-21,-5,38
6,10,11.63
-9,19,32.19
-15,-7,8.94
-23,-8,184.62
-14,-1,113.1
8,18,1.78
-22,-4,1.79
-24,9,93.42
-6,-2,0.89
4,17,4.92
-1,6,39.34
-19,-7,6.71
-22,6,18.77
-17,5,64.36
16,17,0.89
-3,9,12.96
-22,-1,95.66
-5,3,2.68
17,18,30.41
-13,4,3.13
17,34,8.04
6,11,16.02
-3,14,145.27
16,18,4.92
-8,5,0.89
5,9,0.45
12,25,4.47
20,23,8.94
-9,-3,1.79
-4,2,3.58
-14,-9,4.47
0,13,11.18
-15,-5,0.89
-4,2,0.89
8,17,12.96
-26,-14,13.85
-22,-12,77.34
20,21,5.37
-21,-15,0.89
23,29,23.25
13,17,3.13
5,23,3.13
-9,17,12.96
15,23,8.5
-9,3,1.79
-17,-5,1.79
23,24,0.89
-20,4,260.57
10,34,10.28
-1,20,4.92
-21,-2,109.06
-29,4,54.53
-7,2,5.37
22,26,0.89
22,27,14.75
-22,-6,10.28
12,35,1.79
-23,4,13.85
15,20,5.81
21,27,68.42
-18,5,5.81
5,22,1.79
-12,1,7.16
-3,8,3.58
6,15,11.62
-13,18,0.89
-17,3,3.13
-5,2,0.89
6,8,0.89
8,14,0.89
0,1,44.26
2,22,3.13
-7,-2,15.65
21,24,16.99
-2,0,0.89
-18,-3,77.77
-23,11,67.06
-15,2,83.6
-4,6,8.05
-7,1,0.89
-18,1,8.94
-19,2,3.56
20,31,1.79
-6,-1,1.79
-22,-6,75.1
18,27,3.13
21,24,0.89
-5,4,14.3
25,27,0.89
-1,21,29.05
-11,19,56.33
13,19,77.79
-5,-4,3.58
17,26,26.38
17,23,1.79
-16,-2,12.07
11,19,3.13
24,26,0.89
-21,-3,152.44
15,34,3.13
-4,5,3.58
17,25,0.89
15,15,1.78
11,14,4.02
-1,7,0.45
22,22,2.68
16,24,2.67
-10,-4,4.92
-12,-4,32.65
-1,3,1.79
12,14,1.78
5,12,0.89
18,28,0.89
-19,-1,8.94
21,22,7.16
8,24,26.82
2,17,165.4
9,27,18.77
6,7,1.34
-16,9,8.5
14,17,1.34
3,7,1.79
-6,3,2.67
3,23,0.89
23,31,4.92
-14,-5,0.89
-18,-2,0.89
-18,8,3.57
-15,-10,1.79
-6,16,68.85
16,17,1.79
17,20,2.67
1,4,5.35
18,30,4.92
15,23,1.34
-18,1,1.79
-17,-1,52.31
18,26,28.15
-23,2,76.9
7,18,5.8
-6,22,1.79
10,18,0.89
-3,22,53.22
-15,-8,18.33
-9,10,20.56
7,17,16.1
-9,4,5.36
2,5,0.89
20,21,2.68
25,27,34.85
-16,-1,7.15
-20,-8,2.68
-17,-7,0.89
-2,5,8.5
19,24,34.86
6,27,4.92
6,22,1.79
18,20,0.89
-14,14,9.84
12,13,0.89
-4,0,3.13
6,20,1.79
19,29,1.79
-3,-2,26.82
22,25,1.79
-1,16,4.92
11,15,6.26
19,20,0.45
19,21,0.89
19,21,4.92
21,27,0.89
-15,-1,7.16
-9,-1,0.89
9,19,4.92
-5,24,27.28
0,8,11.62
-5,-1,5.81
-18,-15,1.79
-21,-4,63.03
22,27,0.89
-9,-3,1.78
2,12,1.78
-12,5,0.89
-21,-1,280.27
14,32,5.37
-19,-2,52.31
-3,8,4.92
-2,-1,5.81
-3,14,1.79
-3,7,21.01
9,16,57.65
-6,-1,17.43
1,5,0.89
18,21,16.09
-5,5,1.79
20,23,3.13
18,29,3.13
-7,-2,0.89
18,21,0.89
-5,8,3.13
22,28,3.13
-14,-7,0.89
17,18,0.45
20,22,11.63
3,6,2.67
22,26,4.92
-7,-7,36.67
19,30,1.79
-4,18,25.92
23,29,28.16
-10,9,2.68
23,28,3.13
0,3,0.89
-15,6,1.79
1,3,0.89
-23,5,83.59
13,18,0.89
12,36,6.71
11,31,24.59
19,28,27.72
-21,-4,3.13
-21,-2,3.58
5,6,0.89
22,28,0.89
-3,-2,0.89
18,20,2.23
6,25,3.58
10,30,14.31
-20,7,137.67
14,35,7.15
24,29,33.53
-20,-7,388.48
2,8,1.78
0,6,0.89
-19,-10,14.75
22,25,3.58
22,25,5.81
17,22,9.39
-16,19,18.77
2,13,1.78
-13,14,171.21
-18,-1,70.64
-17,18,4.92
-6,14,16.99
-10,-8,0.45
10,13,16.1
11,20,1.79
16,25,3.56
-10,13,11.62
14,25,8.5
-6,-2,20.56
-5,-4,0.89
7,20,1.79
-3,1,23.25
-18,-3,58.1
24,27,3.58
25,28,29.07
6,13,3.13
-16,-2,115.78
-18,2,63.03
-3,-1,0.9
-3,7,5.37
23,27,10.29
-11,0,17.88
23,33,16.1
11,16,1.78
23,27,1.79
17,22,12.08
0,17,40.68
22,30,35.32
6,12,3.58
19,24,11.17
19,30,20.12
21,31,2.68
16,32,5.81
-9,-2,0.89
-4,5,1.78
13,21,3.13
-13,-5,4.92
18,23,0.89
8,14,2.68
14,19,0.89
7,9,1.79
-1,2,1.78
-2,8,26.38
4,5,1.78
-2,9,34.42
16,25,37.1
8,10,2.67
-12,-7,1.79
25,26,0.89
-4,-1,296.99
5,12,1.79
-8,0,0.89
16,19,10.28
-6,14,23.7
22,24,1.79
19,29,54.55
-2,14,4.02
-13,-3,1.78
7,25,11.17
-13,1,4.92
14,18,3.13
17,22,4.92
-18,3,4.92
25,30,3.58
-5,-2,0.89
-21,8,8.94
-4,18,17.88
20,25,79.14
-2,10,0.89
-12,-7,1.78
-1,20,30.85
2,4,5.37
20,28,1.78
-32,-6,40.24
6,41,7.15
-3,8,88.06
-4,-2,0.89
-12,5,3.58
18,21,5.36
19,24,41.58
-16,13,128.74
18,20,14.31
23,24,0.89
22,27,1.79
-23,-7,4.92
9,9,17
18,19,37.12
-7,13,16.1
-9,16,3.13
-5,18,64.8
23,25,0.89
13,20,1.79
-23,-12,108.61
24,29,6.26
-11,8,173.9
4,21,8.5
5,30,7.15
8,18,23.7
-11,-9,21.46
-14,-4,8.5
-14,-7,0.45
13,14,4.47
23,30,3.13
-14,1,24.13
14,34,1.79
17,19,0.45
-14,-7,1.79
20,22,13.86
11,13,3.58
-23,-11,3.13
-7,3,0.89
3,3,17.44
-13,3,73.76
-9,6,8.05
13,29,31.29
19,22,1.79
14,29,6.71
5,25,1.79
13,25,22.34
-14,2,13.86
-25,-12,205.18
-19,3,17.88
-9,-7,0.89
11,14,0.89
21,27,1.79
-7,1,0.89
8,9,1.78
-1,19,34.87
17,19,1.79
-10,-3,9.39
-10,-5,4.47
21,25,11.62
-2,7,0.89
-17,1,1.78
13,25,10.28
2,31,3.13
19,25,3.13
-23,6,267.31
13,14,1.79
-11,-3,4.47
3,22,52.74
18,19,2.67
-9,-2,1.78
2,31,1.79
-20,6,151.52
9,25,13.41
-5,1,3.56
6,14,1.78
20,23,1.79
2,5,0.89
-16,-7,0.89
4,7,0.89
-4,-2,0.89
-3,15,94.33
13,23,21.9
9,27,1.78
0,4,23.26
16,18,8.94
-23,-10,0.89
17,17,1.79
15,22,8.5
-2,18,126.95
-1,25,40.67
-17,13,4.92
-12,1,2.67
4,5,1.79
-10,17,120.26
-17,2,134.53
-20,-6,75.53
-25,6,57.22
22,23,4.02
19,20,1.79
-6,-3,5.81
11,32,1.79
-13,6,34.87
17,20,3.56
-2,21,1.79
-3,20,35.32
-21,-1,236.91
-8,11,39.33
-21,2,198.93
-10,0,12.97
7,14,46.28
21,25,3.58
-15,-3,19.23
6,24,15.2
15,24,13.41
6,16,0.89
24,24,1.78
14,31,59.01
-9,-2,3.58
9,19,11.18
9,10,5.81
-20,-9,1.79
13,15,12.07
8,27,25.92
-18,0,109.96
2,10,3.13
21,33,15.2
-20,-9,0.89
14,15,8.05
-16,-11,1.79
-7,3,4.02
-20,-7,0.89
23,24,57.67
-15,2,10.73
-5,-3,0.89
10,12,18.32
-16,-2,4.92
-13,25,67.06
8,9,3.58
-10,-2,2.68
14,16,4.92
1,11,33.1
0,17,24.14
-14,-3,0.89
-10,6,4.02
-18,-1,46.94
21,25,8.05
-5,18,54.53
4,9,2.67
-9,-8,13.41
15,26,1.79
25,27,12.96
-6,-5,1.78
-17,-6,0.89
19,27,37.54
16,18,1.79
21,26,82.7
14,17,0.89
-9,2,1.78
-10,3,1.78
-23,-11,5.37
-3,9,5.81
-4,14,36.65
4,23,48.74
15,26,14.31
-4,-3,1.79
16,18,1.34
-2,25,42.03
11,12,8.94
14,21,19.23
17,24,14.76
5,13,0.89
-6,4,1.79
-15,-2,21.01
-16,11,1.79
23,25,10.72
16,23,59.91
16,26,4.92
17,26,2.68
25,25,1.79
6,8,1.79
2,7,21.91
11,37,7.6
17,19,0.89
21,26,2.68
16,33,9.39
-23,-10,28.16
-22,5,3.13
18,25,1.79
18,20,3.58
4,5,2.67
-24,-8,284.28
-1,0,1.78
-12,14,68.39
-5,9,1.78
2,12,3.58
14,17,0.89
9,15,0.89
22,25,84.51
8,22,4.92
20,22,4.92
-18,-6,0.89
-17,8,86.72
-9,-4,8.05
14,33,1.79
-16,-13,0.89
-19,6,99.66
15,22,38.89
18,22,0.45
13,21,16.09
14,25,44.7
-19,-3,59.45
-2,3,1.79
21,26,0.89
0,4,0.89
-15,7,177.93
10,21,3.13
-15,9,34.42
-23,7,2.68
-13,12,8.94
19,20,9.84
-24,-10,392.96
12,17,0.89
-11,6,206.07
-27,-11,5.81
-17,4,181.5
7,11,40.68
-2,30,39.78
3,16,21.46
16,25,20.57
8,13,19.66
12,30,17.44
13,28,23.7
-22,-3,73.31
11,15,0.89
13,22,12.07
18,30,11.63
6,10,3.57
12,12,0.89
18,21,19.22
17,29,1.79
18,21,3.58
17,28,47.83
1,18,16.09
-22,-2,306.64
24,31,29.49
-6,1,7.16
-10,5,104.61
1,28,1.79
-4,13,25.02
13,26,31.74
-15,1,30.4
0,3,20.57
-13,9,59.9
12,14,7.6
-1,28,21.01
12,30,13.86
-9,17,67.49
-17,-9,1.78
23,25,7.16
1,21,20.12
-16,-3,3.13
-11,-5,0.89
-3,15,21.01
8,11,8.05
-3,19,147.08
3,8,4.91
8,27,8.94
-12,0,29.95
16,18,0.89
14,25,26.82
8,26,6.26
-7,-2,50.96
18,21,0.89
-6,-1,0.89
-5,-2,73.33
8,17,1.79
-26,-7,77.32
-22,-9,2.67
-18,-3,32.64
7,23,14.3
4,11,0.89
21,24,0.89
-8,4,4.02
13,32,16.09
-16,-3,146.17
-14,3,12.06
-19,5,0.89
1,6,84.49
23,23,8.94
23,30,34.87
-17,2,130.98
-20,-3,1.78
-3,0,13.42
22,31,24.15
-16,-4,46.49
-9,-2,1.79
-8,1,16.09
-14,-9,0.89
5,22,1.79
-6,25,7.15
-11,-2,0.89
12,35,20.11
11,17,1.79
-21,-2,59.9
2,21,3.13
1,24,2.68
23,28,8.94
-20,-11,6.71
-4,1,1.79
-8,21,0.89
7,10,2.68
16,22,21.46
15,25,17.44
23,23,1.79
-26,-10,5.81
-6,-1,141.67
-12,9,97.43
-11,6,6.26
1,10,1.79
-23,0,4.02
16,26,4.92
-4,5,1.79
-16,13,3.13
-17,-1,15.2
20,22,12.07
-6,-1,4.47
9,29,3.13
-16,-2,1.78
4,14,278.5
-17,1,139.92
-18,7,1.79
-15,13,23.69
-18,-2,4.02
18,29,23.71
7,13,1.78
-16,-9,0.89
12,28,13.86
-12,-7,27.28
-12,-6,2.67
8,12,0.45
-16,0,1.79
-20,-7,104.15
-15,9,40.23
-5,28,41.12
18,22,18.78
2,5,1.78
-4,-2,10.72
-7,19,171.65
0,15,3.57
16,18,15.21
-6,-1,4.92
-9,-6,1.78
-21,-6,1.79
-13,-6,0.9
17,31,12.07
-17,-6,7.15
-14,0,7.16
-18,-9,4.02
11,15,1.79
-2,8,1.78
8,9,0.89
-12,23,105.49
-19,12,8.05
-5,9,8.95
-12,-2,3.13
-16,4,100.58
19,21,0.89
-5,-2,0.89
-16,-3,12.96
13,21,16.98
-11,14,78.66
-3,0,1.79
19,20,4.92
-5,-2,7.14
0,2,1.79
4,14,0.89
3,15,4.47
1,12,11.62
19,26,15.19
-18,-5,119.79
15,28,16.99
22,28,17.44
21,24,33.98
7,21,19.21
17,31,6.26
21,24,1.78
19,30,4.92
1,3,7.15
-2,24,1.79
25,27,1.78
-24,-2,4.92
2,6,0.89
-19,9,8.94
-18,-14,3.58
11,16,3.13
1,2,0.45
-13,14,7.6
-16,-3,3.13
18,20,4.02
20,29,27.28
15,22,12.96
-22,-11,0.89
-19,-4,2.68
-6,-1,1.34
-16,14,83.59
19,20,8.04
-13,-9,1.79
-5,4,12.52
19,21,0.89
-17,3,1.34
9,20,6.26
14,17,81.78
2,7,1.78
4,30,0.89
23,24,3.13
24,25,0.89
4,17,1.78
-10,1,3.13
23,27,0.89
7,8,0.89
-8,-5,7.6
20,26,12.07
-19,-3,1.78
-12,29,4.92
21,30,1.79
-6,-1,129.14
4,30,4.02
-21,-12,64.81
-1,23,54.1
-22,-4,4.02
1,16,16.99
4,13,1.79
7,11,0.89
-17,3,42.02
-18,-15,1.79
16,20,0.89
-16,-7,0.89
6,8,1.78
-11,1,1.79
-6,2,3.13
-17,3,35.32
9,36,38.01
-18,-11,4.47
24,27,20.11
-4,9,8.05
-16,17,41.58
-16,-3,8.05
18,23,3.58
20,25,2.67
-14,1,8.94
18,21,28.16
-7,2,3.58
-15,-5,3.13
-12,-3,13.4
21,31,22.8
-13,-10,2.67
-22,-7,22.79
6,21,4.02
-18,1,4.01
13,34,14.75
16,34,1.78
-2,15,8.94
-1,2,0.89
9,11,1.78
16,23,1.78
-7,0,6.26
-1,6,30.4
-17,-2,11.18
20,32,4.92
9,15,1.79
-19,-2,33.08
19,22,12.07
15,31,8.94
13,18,1.79
-7,13,1.79
21,27,21.91
-10,-4,6.26
17,28,8.05
4,17,20.11
3,20,31.74
-1,3,11.18
-27,1,120.27
16,34,3.13
-14,12,18.77
-4,29,37.55
-16,19,4.92
19,22,13.86
-21,-7,12.97
0,10,0.89
1,15,3.13
-7,10,11.18
6,26,12.07
-14,-2,4.92
-13,-1,15.2
13,20,88.06
-21,1,132.32
-14,3,50.06
13,15,0.89
1,4,0.45
2,8,0.89
-8,0,166.32
6,19,15.19
4,8,11.18
-6,8,3.13
0,14,2.67
-15,-5,2.23
18,22,12.07
-8,3,1.79
2,20,3.58
-4,0,3.58
0,15,86.28
22,25,0.89
11,12,1.79
-11,-4,1.79
-3,2,1.34
23,26,13.41
-4,3,43.37
6,6,13.42
-14,-8,0.89
22,24,1.79
6,12,3.58
-16,4,21.91
-24,3,4.02
-16,1,16.98
23,27,17.88
-4,0,0.89
1,21,0.89
25,26,1.79
-16,9,0.89
16,18,4.47
-23,-2,4.02
10,21,8.05
-8,-2,6.24
16,25,1.79
14,18,0.89
-3,4,50.08
16,19,15.21
-24,1,1.79
-9,4,1.34
24,34,3.58
-9,2,1.79
-13,2,3.13
-9,3,0.89
16,26,4.92
-19,7,8.05
-5,-3,12.07
-12,12,28.62
-16,-7,4.92
9,11,24.58
21,26,6.71
-7,0,4.47
-15,1,21.46
25,28,1.79
-10,-6,2.68
-14,8,3.57
21,24,0.89
-17,-8,1.78
20,34,8.05
-16,-4,129.63
3,11,2.68
-6,20,219.5
-14,-2,9.83
-3,2,8.05
7,9,2.68
-6,-3,16.09
8,14,6.26
-16,9,196.25
-16,1,3.58
12,13,0.89
-20,-11,0.89
21,32,4.92
-8,-2,2.68
20,22,6.26
13,13,1.79
-4,-3,2.68
18,24,10.28
15,24,25.49
-16,-7,3.58
